CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],IRATED [A],VBREAKACMAX [VAC],VBREAKDCMAX [VDC],IBREAKAC [AAC],IBREAKDC [ADC],I2T [A2S],BLOWCHARACTERISTIC [str],RCOLD [Ω],TMIN [°C],TMAX [°C],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,RELATEDPARTS
Passive Component / Fuse,generic,F_0402_250mA_32V_FAST_generic,0,generic Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0402_250mA_32V_FAST_LittelfuseInc_0435250KRHFS, F_0402_250mA_32V_FAST_BournsInc_SF0402FP025F2, F_0402_250mA_32V_FAST_BelFuseInc_0ABA0250TN"
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_LittelfuseInc_0435250KRHFS,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0435.250KRHFS,https://www.littelfuse.com/assetdocs/fuse-435-datasheet?assetguid=ba93a49a-a7f2-4cd2-b159-afff91cc8ffd,,,DIGIKEY,F10781CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_BournsInc_SF0402FP025F2,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bourns Inc.,SF-0402FP025F-2,https://bourns.com/docs/product-datasheets/sf-0402fp-f.pdf?sfvrsn=ea2776f6_23,,,DIGIKEY,SF-0402FP025F-2CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_BelFuseInc_0ABA0250TN,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,0ABA-0250-TN,https://belfuse.com/media/datasheets/products/circuit-protection/ds-cp-0aba-series.pdf,,,DIGIKEY,5923-0ABA-0250-TNCT-ND,ACTIVE,
Passive Component / Fuse,generic,F_0402_1A_32V_FAST_generic,0,generic Fuse 1 A 0402 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,1 A,,32 V,,50A@32VDC,0.02,FAST,0.073,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0402_1A_32V_FAST_LittelfuseInc_0435001KRHF, F_0402_1A_32V_FAST_BournsInc_SF0402FP100F2, F_0402_1A_32V_FAST_BelFuseInc_0ABA0750TN"
Passive Component / Fuse,specific,F_0402_1A_32V_FAST_LittelfuseInc_0435001KRHF,0,Fuse 1 A 0402 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,1 A,,32 V,,50A@32VDC,0.02,FAST,0.073,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0435001.KRHF,https://www.littelfuse.com/assetdocs/fuse-435-datasheet?assetguid=ba93a49a-a7f2-4cd2-b159-afff91cc8ffd,,,DIGIKEY,F10782CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_1A_32V_FAST_BournsInc_SF0402FP100F2,0,Fuse 1 A 0402 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,1 A,,32 V,,50A@32VDC,0.02,FAST,0.073,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bourns Inc.,SF-0402FP100F-2,https://bourns.com/docs/product-datasheets/sf-0402fp-f.pdf?sfvrsn=ea2776f6_23,,,DIGIKEY,SF-0402FP100F-2CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_1A_32V_FAST_BelFuseInc_0ABA0750TN,0,Fuse 1 A 0402 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,1 A,,32 V,,50A@32VDC,0.02,FAST,0.073,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,0ABA-0750-TN,https://belfuse.com/media/datasheets/products/circuit-protection/ds-cp-0aba-series.pdf,,,DIGIKEY,5923-0ABA-0750-TNCT-ND,ACTIVE,
Passive Component / Fuse,generic,F_0603_250mA_32V_FAST_generic,0,generic Fuse 250 mA 0603 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,250 mA,,32 V,,50A@32VDC,0.0014,FAST,0.565,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0603_250mA_32V_FAST_LittelfuseInc_0467250NRHF, F_0603_250mA_32V_FAST_AEMComponents_T0603FF0250TM, F_0603_250mA_32V_FAST_BelFuseInc_C2Q250"
Passive Component / Fuse,specific,F_0603_250mA_32V_FAST_LittelfuseInc_0467250NRHF,0,Fuse 250 mA 0603 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,250 mA,,32 V,,50A@32VDC,0.0014,FAST,0.565,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0467.250NRHF,https://www.littelfuse.com/assetdocs/littelfuse_fuse_467_datasheet.pdf?assetguid=4a59f034-1cca-460e-a5ba-e1e66247c76d,,,DIGIKEY,F6020CT-ND,ACTIVE,
